서울특별시 종로구 자하문로 99-4 경복빌라 청운효자동|37.58507982918849|126.96985337111785
세종특별자치시 한누리대로 1811|36.497491391132094|127.31348634049066
세종특별자치시 한누리대로 1820|36.497996698571825|127.31277410012342
세종특별자치시 한누리대로 1821|36.49742094176391|127.31245119737163
세종특별자치시 한누리대로 1824|36.49794894074672|127.31212738819418
세종특별자치시 한누리대로 1828|36.497907869401075|127.31173348140456
세종특별자치시 한누리대로 1839|36.49725469355331|127.31049490008617
세종특별자치시 한누리대로 1864|36.49687012168675|127.3078240708888
세종특별자치시 한누리대로 1934|36.49157082531289|127.30371955329858
세종특별자치시 한누리대로 1940|36.491042660785936|127.30327877949983
